"wavelength","k"
737.53,403.004596584327
737.97,362.308008520498
738.41,382.33865241601
738.85,307.560073246384
739.29,373.818154639561
739.73,347.359766807429
740.17,317.538024589858
740.61,296.348891961583
741.05,304.42094248664
741.49,360.701072536343
741.93,359.094136552188
742.37,372.69703651108
742.81,365.222915654546
743.26,328.375499831832
743.7,298.665869427109
744.14,283.343921671213
744.58,320.751896558167
745.02,322.059867708061
745.46,353.376434096939
745.9,321.200343809559
746.34,301.244441122613
746.78,307.597443850667
747.22,295.489368063081
747.66,324.227362756456
748.1,268.32093874958
748.54,261.295265144437
748.98,242.87155723308
749.42,313.165663888785
749.86,276.318248066071
750.29,278.485743114466
750.73,370.940618109795
751.17,315.89371800142
751.61,351.134197839979
752.05,343.846930004858
752.49,323.666803692216
752.93,259.613587951717
753.37,302.029223812549
753.81,364.587615381741
754.25,294.741955977428
754.69,315.669494375724
755.13,305.355207593707
755.57,275.6082065847
756.01,300.758623266938
756.45,323.293097649389
756.89,258.230875593258
757.33,306.999514182144
757.77,323.666803692215
758.21,299.301169699914
758.64,236.070107253634
759.08,340.894652266527
759.52,315.968459209985
759.96,332.561007511491
760.4,286.595164243806
760.84,314.697858664375
761.28,295.750962293061
761.72,349.938338502934
762.16,302.963488919616
762.6,307.971149893494
763.03,237.564931424941
763.47,321.050861392428
763.91,288.20210022796
764.35,255.428080272058
764.79,339.39982809522
765.23,256.8481632348
765.67,303.823012818117
766.11,258.305616801824
766.54,333.756866848537
766.98,301.506035352591
767.42,244.40375200867
767.86,351.732127508502
768.3,308.980156209126
768.74,295.078291415972
769.17,294.592473560297
769.61,260.062035203109
770.05,247.542882768414
770.49,235.883254232221
770.93,216.338428192384
771.37,284.203445569715
771.8,244.478493217235
772.24,259.426734930304
772.68,370.006353002728
773.12,303.187712545312
773.56,336.970738816847
774,224.447849321724
774.43,278.298890093052
774.87,277.401995590269
775.31,310.213386150454
775.75,235.546918793677
776.19,335.737508875518
776.62,338.091856945327
777.06,321.574049852386
777.5,268.844127209537
777.94,308.718561979147
778.37,351.769498112784
778.81,324.115250943608
779.25,332.299413281513
779.69,319.219701782578
780.13,324.414215777869
780.56,262.603236294331
781,358.384095070817
781.44,311.334504278934
781.88,283.343921671213
782.31,315.221047124332
782.75,376.583579356478
783.19,276.542471691767
783.63,326.24537538772
784.06,330.804589110206
784.5,319.518666616839
784.94,355.656040958182
785.37,342.015770395007
785.81,315.781606188572
786.25,284.689263425389
786.69,295.115662020255
787.12,256.586569004821
787.56,255.764415710602
788,302.141335625397
788.43,324.189992152173
788.87,346.873948951754
789.31,299.263799095631
789.75,364.886580216002
790.18,312.754587241676
790.62,357.636682985164
791.06,278.373631301618
791.49,338.129227549609
791.93,343.249000336335
792.37,390.03699689824
792.8,244.067416570126
793.24,338.017115736761
793.68,324.488956986434
794.11,347.920325871669
794.55,359.430471990732
794.99,292.499719720468
795.42,331.589371800142
795.86,336.895997608281
796.3,336.74651519115
796.73,339.923016555178
797.17,313.09092268022
797.61,315.108935311484
798.04,270.936881049367
798.48,337.15759183826
798.91,366.418774991592
799.35,338.615045405284
799.79,325.385851489218
800.22,400.612877910236
800.66,360.588960723495
801.1,284.689263425389
801.53,239.059755596248
801.97,257.819798946149
802.4,278.336260697335
802.84,298.777981239957
803.28,213.535632871184
803.71,325.83429874061
804.15,374.117119473822
